CPF,Data,Hora,PDV,Operadora,Categoria,Subcategoria,Produto,Preço de Custo,Preço,Quantidade,Valor Total,Cancelamentos,Tipo de Pagamento
829.749.897-99,2023-02-07,11:44:59,12,Laura,Laticínios,Leites,Leite,2.5,3.38,9,30.42,,Dinheiro
783.119.229-78,2023-02-04,09:00:37,10,Márcia,Hortifruti,Legumes,Cebola,2.29,2.98,6,17.88,,Cartão_Débito
499.748.956-99,2023-02-10,18:30:53,19,Alice,Carnes,Bovina,Mocotó,21.99,29.99,1,29.99,,Cartão_Crédito
161.266.354-96,2023-02-24,12:37:13,1,Daniela,Carnes,Aves,Linguiça Toscana de Frango,17.99,24.99,10,249.9,Desistência do cliente,Cartão_Débito
564.653.248-41,2023-02-14,12:00:04,18,Clara,Moda e Vestuário,Masculino,Moletom com Capuz,32.99,49.99,9,449.91,,Cartão_Crédito
381.279.883-64,2023-02-17,09:03:12,8,Alice,Carnes,Bovina,Bife de Alcatra,47.99,64.99,9,584.91,,Dinheiro
172.267.801-79,2023-02-24,18:30:45,13,Ana,Carnes,Ovinos,Pernil de Cordeiro,59.99,74.99,7,524.93,,Pix
397.568.254-66,2023-02-06,17:17:35,19,Laura,Moda e Vestuário,Feminino,Vestido de Festa,69.99,99.99,4,399.96,,Dinheiro
669.380.314-27,2023-02-01,12:01:50,9,Isabela,Moda e Vestuário,Feminino,Blusa de Tricô,22.99,34.99,7,244.93,,Cartão_Débito
485.509.613-80,2023-02-10,21:41:14,11,Juliana,Decoração,Vasos,Vaso de Plantas,14.99,19.99,5,99.95,,Cartão_Débito
844.548.771-40,2023-02-26,15:59:33,12,Clara,Tecnologia,Relógios Inteligentes,Smartwatch,119.99,149.99,8,1199.92,Desistência do cliente,Cartão_Débito
170.215.935-59,2023-02-23,09:55:27,6,Mariana,Bebidas,Alcoólicas,Cerveja,5.9,7.67,6,46.02,Problemas técnicos,Pix
829.656.828-10,2023-02-21,17:56:28,2,Mariana,Hortifruti,Frutas,Pêssego,4.0,5.2,8,41.6,Fraude,Pix
336.796.485-34,2023-02-23,12:06:03,5,Tatiana,Decoração,Vasos,Vaso de Plantas,14.99,19.99,5,99.95,,Cartão_Débito
603.852.595-51,2023-02-06,12:54:38,16,Patrícia,Hortifruti,Frutas,Jaca,6.99,8.49,10,84.9,,Cartão_Débito
665.151.734-62,2023-02-28,12:09:13,6,Carla,Carnes,Aves,Pato Inteiro,74.99,89.99,8,719.92,,Cartão_Débito
816.477.112-31,2023-02-11,16:55:02,13,Juliana,Moda e Vestuário,Masculino,Calça Social,39.99,59.99,1,59.99,,Cartão_Crédito
724.748.418-28,2023-02-27,19:31:12,6,Helena,Carnes,Bovina,Rabo,29.99,39.99,5,199.95,Desistência do cliente,Cartão_Crédito
313.216.842-32,2023-02-23,14:38:21,13,Clara,Hortifruti,Frutas,Banana,2.99,3.89,7,27.23,Estoque indisponível,Cartão_Crédito
695.576.677-89,2023-02-03,12:24:33,3,Olivia,Eletrodomésticos,Fritadeiras,Fritadeira Elétrica,99.99,129.99,4,519.96,Pagamento não autorizado,Cartão_Crédito
716.928.842-69,2023-02-07,14:55:47,13,Laura,Carnes,Suínos,Costela Suína,18.9,27.4,6,164.4,,Dinheiro
459.579.922-25,2023-02-21,10:12:12,14,Tatiana,Padaria,Pães,Pão Francês,3.0,4.05,2,8.1,,Cartão_Débito
613.580.347-95,2023-02-27,19:15:20,2,Juliana,Hortifruti,Frutas,Graviola,9.49,11.99,8,95.92,,Dinheiro
222.906.476-92,2023-02-13,10:22:59,19,Daniela,Bebidas,Alcoólicas,Vinho Tinto,25.0,32.5,8,260.0,,Cartão_Débito
127.684.345-25,2023-02-09,17:16:29,8,Patrícia,Hortifruti,Frutas,Banana Nanica,1.99,2.99,9,26.91,,Dinheiro
494.487.245-97,2023-02-04,14:45:33,16,Gabriela,Moda e Vestuário,Masculino,Camisa Social,24.99,39.99,6,239.94,,Pix
746.286.592-49,2023-02-07,11:48:14,19,Fernanda,Eletroeletrônicos,Televisores,Smart TV 50 polegadas,2199.99,2639.99,5,13199.95,Estoque indisponível,Cartão_Crédito
414.255.214-97,2023-02-12,09:09:50,17,Márcia,Moda e Vestuário,Feminino,Vestido Chemise,29.99,44.99,8,359.92,,Pix
697.767.860-82,2023-02-10,14:05:45,1,Isabela,Moda e Vestuário,Feminino,Blusa Estampada,19.99,29.99,7,209.93,,Pix
367.494.973-25,2023-02-21,12:19:44,4,Patrícia,Carnes,Aves,Asa de Frango,13.99,19.99,9,179.91,,Cartão_Crédito
732.243.760-64,2023-02-06,10:58:05,3,Márcia,Padaria,Biscoitos,Rosquinhas,3.9,5.27,7,36.89,,Pix
941.165.553-38,2023-02-23,19:47:26,12,Natália,Limpeza,Detergentes,Lava-louças,4.8,7.2,9,64.8,,Dinheiro
433.192.531-82,2023-02-16,19:50:14,13,Daniela,Limpeza,Utensílios de Limpeza,Vassoura,12.0,18.0,8,144.0,,Cartão_Crédito
697.959.602-76,2023-02-16,14:22:09,17,Olivia,Hortifruti,Frutas,Manga Tommy,4.99,6.49,7,45.43,,Dinheiro
123.425.997-30,2023-02-26,10:34:25,5,Ana,Padaria,Bolos,Bolo de Chocolate,18.0,24.3,10,243.0,,Dinheiro
965.347.260-55,2023-02-12,17:41:04,16,Márcia,Moda e Vestuário,Masculino,Camisa Xadrez,19.99,29.99,3,89.97,,Pix
250.406.397-85,2023-02-12,19:14:34,11,Beatriz,Hortifruti,Frutas,Limão Siciliano,4.49,5.49,1,5.49,,Cartão_Crédito
676.923.661-21,2023-02-25,14:04:38,18,Gabriela,Carnes,Aves,Linguiça Toscana de Frango,17.99,24.99,3,74.97,,Cartão_Débito
474.509.578-56,2023-02-26,19:17:11,10,Laura,Moda e Vestuário,Masculino,Calça Cargo,29.99,44.99,10,449.9,Fraude,Cartão_Crédito
524.352.944-79,2023-02-10,18:08:19,5,Beatriz,Carnes,Aves,Sobrecoxa de Frango,21.99,29.99,7,209.93,,Cartão_Débito
982.753.592-87,2023-02-09,18:16:58,12,Juliana,Tecnologia,Câmeras,Câmera Fotográfica,249.99,299.99,2,599.98,,Dinheiro
895.754.381-70,2023-02-12,14:28:34,10,Juliana,Carnes,Aves,Peito de Codorna,29.99,39.99,9,359.91,Desconto recusado,Pix
593.258.538-16,2023-02-09,09:26:08,20,Laura,Limpeza,Utensílios de Limpeza,Vassoura,12.0,18.0,3,54.0,,Cartão_Débito
725.659.728-89,2023-02-18,08:45:15,19,Helena,Hortifruti,Frutas,Pera,3.29,4.49,10,44.9,,Dinheiro
408.439.253-93,2023-02-13,16:20:49,17,Patrícia,Laticínios,Iogurtes,Iogurte,3.8,5.13,9,46.17,,Cartão_Crédito
762.892.213-18,2023-02-26,12:01:32,20,Natália,Sobremesas,Sorvetes,Sorvete,12.0,16.8,3,50.4,,Pix
932.838.783-51,2023-02-12,15:08:35,8,Juliana,Carnes,Ovinos,Cordeiro Desossado,79.99,94.99,10,949.9,,Cartão_Débito
259.108.581-42,2023-02-25,10:41:07,6,Sabrina,Moda e Vestuário,Masculino,Camiseta Estampada,16.99,24.99,6,149.94,,Cartão_Crédito
248.974.191-45,2023-02-24,13:00:16,12,Helena,Limpeza,Desinfetantes,Desinfetante,6.8,10.2,4,40.8,,Dinheiro
588.900.624-18,2023-02-07,09:22:30,15,Carla,Hortifruti,Frutas,Cereja Chilena,44.99,49.99,10,499.9,,Cartão_Débito
296.644.217-21,2023-02-10,20:46:11,13,Mariana,Carnes,Aves,Linguiça Toscana de Frango,17.99,24.99,3,74.97,,Pix
454.248.193-43,2023-02-09,13:46:03,19,Helena,Hortifruti,Frutas,Banana Nanica,1.99,2.99,10,29.9,,Pix
794.357.795-25,2023-02-12,09:11:24,5,Olivia,Carnes,Ovinos,Contrafilé de Cordeiro,54.99,69.99,6,419.94,,Dinheiro
819.452.801-43,2023-02-12,16:29:16,1,Daniela,Carnes,Bovina,Lagarto,44.99,59.99,3,179.97,Fraude,Cartão_Débito
777.435.926-29,2023-02-20,15:27:57,8,Alice,Carnes,Bovina,Contrafilé,52.99,74.99,2,149.98,Desconto recusado,Dinheiro
177.452.926-34,2023-02-25,10:23:50,18,Fernanda,Móveis,Sofás,Sofá de Couro,499.99,599.99,5,2999.95,,Dinheiro
161.266.354-96,2023-02-08,14:45:33,5,Isabela,Carnes,Ovinos,Paleta de Cordeiro,74.99,89.99,3,269.97,Desistência do cliente,Cartão_Crédito
373.505.777-83,2023-02-17,13:47:45,11,Renata,Carnes,Bovina,Bife de Alcatra,47.99,64.99,10,649.9,,Cartão_Crédito
498.744.542-31,2023-02-13,09:13:52,10,Daniela,Hortifruti,Frutas,Kiwi,5.0,6.5,3,19.5,Pagamento não autorizado,Cartão_Débito
773.292.904-21,2023-02-24,17:30:02,14,Renata,Carnes,Aves,Peito de Frango,15.99,22.99,4,91.96,,Dinheiro
