CPF,Data,Hora,PDV,Operadora,Categoria,Subcategoria,Produto,Preço de Custo,Preço,Quantidade,Valor Total,Cancelamentos,Tipo de Pagamento
399.995.772-69,2024-03-04,20:40:43,10,Juliana,Sobremesas,Sorvetes,Sorvete,12.0,16.8,10,168.0,Erro no preço,Cartão_Crédito
295.478.132-18,2024-03-30,20:25:12,1,Clara,Moda e Vestuário,Feminino,Cardigan de Lã,29.99,44.99,6,269.94,,Cartão_Débito
164.824.362-34,2024-03-04,16:17:30,7,Laura,Carnes,Bovina,Mocotó,21.99,29.99,3,89.97,,Cartão_Crédito
322.792.998-64,2024-03-15,20:47:46,20,Renata,Hortifruti,Frutas,Graviola,9.49,11.99,2,23.98,,Cartão_Débito
312.352.226-35,2024-03-29,16:39:55,2,Helena,Celulares,Tablets,Tablet,899.99,1124.99,6,6749.94,,Cartão_Débito
215.159.922-96,2024-03-09,21:51:55,1,Patrícia,Decoração,Tapetes,Tapete,59.99,79.99,7,559.93,Problemas técnicos,Cartão_Débito
612.719.692-97,2024-03-22,18:17:06,11,Alice,Bebidas,Águas,Água Mineral,1.5,1.95,2,3.9,,Pix
243.668.926-88,2024-03-18,08:50:37,6,Márcia,Hortifruti,Legumes,Pimentão,3.99,5.19,10,51.9,,Cartão_Crédito
335.768.903-22,2024-03-09,21:48:31,20,Gabriela,Hortifruti,Frutas,Tangerina,2.49,3.49,5,17.45,Problemas técnicos,Cartão_Crédito
504.482.233-98,2024-03-01,21:25:17,13,Carla,Hortifruti,Frutas,Uva Verde,7.49,9.99,7,69.93,Fraude,Dinheiro
486.512.400-63,2024-03-22,10:53:01,5,Carla,Esportes,Raquetes,Raquete de Tênis,39.99,49.99,6,299.94,,Cartão_Débito
864.872.736-62,2024-03-25,12:09:21,13,Natália,Hortifruti,Frutas,Cereja Americana,49.99,54.99,3,164.97,,Cartão_Crédito
266.744.373-94,2024-03-12,16:13:35,10,Laura,Carnes,Aves,Coxa de Peru,29.99,39.99,5,199.95,,Pix
948.246.904-82,2024-03-12,10:32:24,7,Juliana,Limpeza,Desinfetantes,Desinfetante,6.8,10.2,6,61.2,,Cartão_Crédito
391.906.806-68,2024-03-25,15:49:27,18,Isabela,Móveis,Mesas,Escrivaninha,99.99,129.99,2,259.98,,Pix
395.390.645-12,2024-03-18,10:42:37,4,Renata,Higiene,Shampoos,Shampoo,12.9,18.06,4,72.24,,Cartão_Débito
907.134.103-12,2024-03-28,15:15:18,1,Natália,Carnes,Aves,Peito de Peru,39.99,49.99,3,149.97,,Dinheiro
950.144.198-70,2024-03-03,20:25:18,1,Carla,Moda e Vestuário,Masculino,Terno Slim,99.99,149.99,2,299.98,,Cartão_Crédito
889.433.765-86,2024-03-08,13:25:12,6,Renata,Higiene,Shampoos,Shampoo,12.9,18.06,5,90.3,,Cartão_Crédito
948.461.472-21,2024-03-12,15:11:07,8,Laura,Tecnologia,Redes,Roteador Wi-Fi,59.99,79.99,9,719.91,,Cartão_Débito
906.703.507-50,2024-03-16,16:51:24,19,Juliana,Laticínios,Leites,Leite,2.5,3.38,7,23.66,,Cartão_Débito
700.973.170-46,2024-03-14,10:32:28,19,Gabriela,Higiene,Shampoos,Condicionador,14.5,20.3,6,121.8,,Pix
793.335.281-70,2024-03-12,12:06:20,16,Isabela,Tecnologia,Câmeras,Câmera Fotográfica,249.99,299.99,5,1499.95,Problemas de entrega,Cartão_Débito
697.172.492-68,2024-03-25,09:19:33,18,Tatiana,Carnes,Aves,Salsicha de Frango,9.99,14.99,6,89.94,,Cartão_Crédito
237.486.781-43,2024-03-28,20:35:35,6,Daniela,Carnes,Aves,Codorna Inteira,39.99,54.99,4,219.96,,Pix
938.464.137-19,2024-03-26,08:37:35,16,Isabela,Moda e Vestuário,Feminino,Blusa Estampada,19.99,29.99,3,89.97,,Cartão_Crédito
958.808.650-55,2024-03-18,12:22:24,19,Carla,Carnes,Suína,Barriga de Porco,21.99,29.99,9,269.91,Problemas técnicos,Pix
330.814.456-89,2024-03-08,15:35:34,16,Isabela,Hortifruti,Frutas,Banana da Terra,3.99,4.99,3,14.97,Estoque indisponível,Pix
957.417.571-99,2024-03-27,21:46:20,3,Alice,Padaria,Pães,Pão Francês,3.0,4.05,1,4.05,,Dinheiro
234.712.430-55,2024-03-02,09:58:44,4,Alice,Hortifruti,Frutas,Pera,3.29,4.49,7,31.43,,Cartão_Débito
164.216.740-62,2024-03-31,14:34:28,14,Isabela,Hortifruti,Frutas,Maçã,4.99,6.49,4,25.96,,Pix
225.536.540-24,2024-03-11,17:14:30,5,Mariana,Móveis,Cadeiras,Cadeira de Escritório,119.99,149.99,4,599.96,,Dinheiro
299.531.392-27,2024-03-24,15:34:58,16,Natália,Padaria,Biscoitos,Rosquinhas,3.9,5.27,1,5.27,,Cartão_Crédito
754.905.762-71,2024-03-14,10:05:12,16,Alice,Carnes,Ovinos,Linguiça de Cordeiro,19.99,29.99,7,209.93,,Cartão_Crédito
583.877.194-41,2024-03-20,21:09:52,13,Isabela,Limpeza,Utensílios de Limpeza,Vassoura,12.0,18.0,10,180.0,,Pix
750.986.958-71,2024-03-28,15:02:32,10,Helena,Esportes,Bicicletas,Bicicleta,399.99,499.99,9,4499.91,,Pix
475.401.856-68,2024-03-04,16:03:21,16,Patrícia,Esportes,Raquetes,Raquete de Tênis,39.99,49.99,5,249.95,,Pix
241.571.177-18,2024-03-27,17:08:26,5,Laura,Carnes,Aves,Peito de Pato,49.99,64.99,9,584.91,,Pix
911.792.224-38,2024-03-15,13:25:02,18,Olivia,Padaria,Pães,Pão Francês,3.0,4.05,2,8.1,,Cartão_Débito
377.101.320-53,2024-03-01,19:06:10,4,Mariana,Tecnologia,Caixas de Som,Smart Speaker,79.99,99.99,8,799.92,,Cartão_Crédito
182.374.575-49,2024-03-23,17:23:11,5,Gabriela,Móveis,Guarda-roupas,Guarda-roupa,299.99,399.99,7,2799.93,Desistência do cliente,Pix
436.821.959-72,2024-03-15,08:14:39,2,Natália,Carnes,Ovinos,Pernil de Cordeiro,59.99,74.99,3,224.97,,Cartão_Débito
599.705.299-18,2024-03-06,20:47:25,5,Helena,Limpeza,Detergentes,Detergente,3.2,4.8,4,19.2,Problemas técnicos,Dinheiro
345.876.526-22,2024-03-09,16:32:11,2,Daniela,Moda e Vestuário,Feminino,Vestido de Renda,42.99,64.99,10,649.9,,Pix
424.980.418-38,2024-03-16,21:04:35,6,Renata,Moda e Vestuário,Masculino,Camisa Xadrez,19.99,29.99,10,299.9,,Dinheiro
577.518.698-43,2024-03-21,11:00:07,4,Laura,Carnes,Ovinos,Carré de Cordeiro,69.99,84.99,9,764.91,,Pix
652.957.953-89,2024-03-12,08:05:55,17,Juliana,Padaria,Pães,Pão Integral,4.5,6.08,4,24.32,,Cartão_Débito
981.450.122-66,2024-03-01,12:45:41,4,Ana,Moda e Vestuário,Feminino,Saia Midi,24.99,39.99,6,239.94,,Cartão_Débito
256.576.939-31,2024-03-14,15:17:42,9,Sabrina,Hortifruti,Frutas,Carambola,5.99,7.49,6,44.94,,Pix
613.580.347-95,2024-03-09,19:13:31,15,Fernanda,Carnes,Aves,Coxa de Peru,29.99,39.99,3,119.97,,Dinheiro
523.993.904-84,2024-03-25,10:45:44,14,Daniela,Carnes,Suína,Linguiça Toscana,24.99,34.99,10,349.9,Desistência do cliente,Cartão_Crédito
941.165.553-38,2024-03-15,12:17:27,17,Isabela,Hortifruti,Frutas,Amora,14.99,17.99,10,179.9,,Pix
754.905.762-71,2024-03-28,11:25:15,16,Juliana,Moda e Vestuário,Masculino,Camisa Xadrez,19.99,29.99,4,119.96,,Cartão_Débito
613.927.739-32,2024-03-23,14:01:51,9,Daniela,Hortifruti,Frutas,Romã,7.99,9.99,4,39.96,,Dinheiro
259.217.145-10,2024-03-25,20:13:06,7,Clara,Móveis,Cadeiras,Cadeira de Escritório,119.99,149.99,6,899.94,,Dinheiro
431.929.450-79,2024-03-18,16:06:11,3,Ana,Hortifruti,Frutas,Kiwi,9.99,11.99,5,59.95,,Cartão_Débito
910.128.261-54,2024-03-17,16:54:58,16,Ana,Tecnologia,Câmeras,Câmera Fotográfica,249.99,299.99,3,899.97,,Pix
844.651.365-13,2024-03-14,11:20:44,11,Mariana,Eletroeletrônicos,Televisores,Smart TV 50 polegadas,2199.99,2639.99,7,18479.93,,Pix
