CPF,Data,Hora,PDV,Operadora,Categoria,Subcategoria,Produto,Preço de Custo,Preço,Quantidade,Valor Total,Cancelamentos,Tipo de Pagamento
803.820.215-24,2023-04-03,16:55:26,19,Beatriz,Moda e Vestuário,Masculino,Bermuda Jeans,19.99,29.99,10,299.9,,Dinheiro
499.391.345-45,2023-04-23,16:15:47,4,Gabriela,Hortifruti,Frutas,Tamarindo,11.99,13.99,9,125.91,,Pix
742.722.239-36,2023-04-16,21:00:15,5,Laura,Decoração,Tapetes,Tapete,59.99,79.99,6,479.94,,Dinheiro
359.351.160-53,2023-04-11,19:05:46,1,Gabriela,Hortifruti,Frutas,Graviola,9.49,11.99,8,95.92,,Pix
902.796.518-91,2023-04-30,16:14:25,1,Laura,Moda e Vestuário,Feminino,Blusa Estampada,19.99,29.99,10,299.9,,Dinheiro
920.800.728-68,2023-04-24,08:47:35,17,Olivia,Moda e Vestuário,Masculino,Calça Cargo,29.99,44.99,4,179.96,,Dinheiro
747.777.897-41,2023-04-28,13:14:36,7,Beatriz,Limpeza,Sabão em Pó,Sabão em Pó,8.5,12.75,6,76.5,,Dinheiro
755.900.129-96,2023-04-23,16:16:37,12,Ana,Hortifruti,Frutas,Figo,11.99,14.99,1,14.99,,Cartão_Débito
342.760.858-91,2023-04-10,09:07:57,15,Alice,Bebidas,Não Alcoólicas,Refrigerante,4.5,5.85,8,46.8,,Cartão_Crédito
255.442.755-68,2023-04-07,14:25:48,17,Gabriela,Moda e Vestuário,Feminino,Cardigan de Lã,29.99,44.99,8,359.92,,Pix
429.537.553-81,2023-04-18,19:48:21,15,Ana,Tecnologia,Periféricos,Teclado sem Fio,14.99,19.99,4,79.96,,Pix
436.222.653-83,2023-04-04,17:47:44,14,Sabrina,Padaria,Biscoitos,Biscoito,5.8,7.83,10,78.3,,Cartão_Débito
886.451.284-97,2023-04-16,09:27:44,3,Renata,Tecnologia,Fones de Ouvido,Fone de Ouvido Bluetooth,39.99,49.99,9,449.91,,Cartão_Crédito
177.970.230-88,2023-04-08,11:59:23,8,Helena,Moda e Vestuário,Feminino,Vestido de Renda,42.99,64.99,3,194.97,,Pix
479.451.110-81,2023-04-17,11:05:27,2,Fernanda,Sobremesas,Chocolates,Chocolate,7.5,10.5,5,52.5,,Cartão_Débito
289.246.896-62,2023-04-18,20:03:18,12,Daniela,Decoração,Pratos Decorativos,Prato Decorativo,14.99,19.99,2,39.98,,Pix
474.509.578-56,2023-04-16,17:10:07,7,Olivia,Moda e Vestuário,Feminino,Vestido Tubinho,34.99,49.99,10,499.9,,Cartão_Débito
316.956.974-45,2023-04-17,19:13:43,16,Patrícia,Hortifruti,Legumes,Cebola,2.29,2.98,1,2.98,,Dinheiro
128.369.138-85,2023-04-25,10:40:59,12,Olivia,Hortifruti,Frutas,Amora,14.99,17.99,5,89.95,,Cartão_Crédito
349.289.578-34,2023-04-22,17:28:07,17,Beatriz,Esportes,Raquetes,Raquete de Tênis,39.99,49.99,3,149.97,,Dinheiro
918.396.531-55,2023-04-24,11:41:09,11,Beatriz,Moda e Vestuário,Feminino,Vestido Midi,42.99,64.99,1,64.99,,Cartão_Crédito
356.617.950-29,2023-04-16,14:12:42,1,Sabrina,Bebidas,Não Alcoólicas,Refrigerante,4.5,5.85,6,35.1,,Dinheiro
814.892.350-56,2023-04-17,14:35:28,13,Gabriela,Moda e Vestuário,Masculino,Camisa Social,24.99,39.99,6,239.94,,Cartão_Crédito
842.713.249-19,2023-04-24,16:15:20,1,Laura,Eletrodomésticos,Panelas Elétricas,Panela Elétrica de Arroz,69.99,89.99,6,539.94,,Cartão_Crédito
485.322.894-92,2023-04-12,17:36:50,5,Natália,Higiene,Sabonetes,Gel de Banho,4.2,5.88,3,17.64,,Dinheiro
613.580.347-95,2023-04-02,15:30:16,16,Tatiana,Higiene,Sabonetes,Gel de Banho,4.2,5.88,7,41.16,,Cartão_Crédito
917.379.567-57,2023-04-15,10:20:49,3,Carla,Padaria,Bolos,Bolo de Chocolate,18.0,24.3,7,170.1,,Cartão_Crédito
116.420.943-43,2023-04-10,15:16:36,17,Gabriela,Esportes,Luvas,Luvas de Boxe,29.99,39.99,9,359.91,,Cartão_Crédito
332.299.753-64,2023-04-19,13:48:51,18,Beatriz,Moda e Vestuário,Masculino,Moletom com Capuz,32.99,49.99,6,299.94,,Cartão_Crédito
425.937.760-51,2023-04-30,12:34:37,3,Clara,Carnes,Aves,Peito de Peru,39.99,49.99,5,249.95,,Cartão_Crédito
522.482.903-23,2023-04-09,17:12:33,4,Mariana,Móveis,Cadeiras,Cadeira de Escritório,119.99,149.99,10,1499.9,,Cartão_Crédito
852.820.840-43,2023-04-10,16:58:41,19,Isabela,Tecnologia,Câmeras,Câmera Fotográfica,249.99,299.99,4,1199.96,,Pix
784.912.448-56,2023-04-29,20:12:00,8,Fernanda,Limpeza,Detergentes,Lava-louças,4.8,7.2,2,14.4,,Dinheiro
255.770.146-24,2023-04-16,11:17:18,1,Ana,Lazer,Brinquedos,Quebra-cabeça,14.99,19.99,5,99.95,,Pix
138.953.743-64,2023-04-30,21:25:29,18,Gabriela,Carnes,Aves,Linguiça de Peru,13.99,19.99,9,179.91,,Cartão_Débito
321.586.435-54,2023-04-20,18:24:11,18,Márcia,Hortifruti,Frutas,Abacaxi,4.5,5.85,1,5.85,,Cartão_Crédito
338.540.742-57,2023-04-04,17:12:50,6,Natália,Hortifruti,Frutas,Manga,4.49,5.99,2,11.98,,Pix
316.956.974-45,2023-04-12,09:07:41,11,Laura,Hortifruti,Frutas,Banana Nanica,1.99,2.99,6,17.94,,Pix
863.940.660-50,2023-04-05,19:28:34,2,Laura,Moda e Vestuário,Masculino,Blazer Slim,59.99,89.99,3,269.97,,Cartão_Débito
512.686.423-84,2023-04-11,20:03:09,12,Beatriz,Moda e Vestuário,Feminino,Sandália Rasteira,26.99,39.99,7,279.93,Problemas de entrega,Cartão_Débito
591.489.189-71,2023-04-07,18:57:46,2,Márcia,Hortifruti,Frutas,Pêssego,5.49,6.99,1,6.99,,Cartão_Crédito
631.450.324-73,2023-04-28,15:18:03,6,Márcia,Carnes,Ovinos,Linguiça de Cordeiro,19.99,29.99,5,149.95,,Cartão_Débito
338.468.736-13,2023-04-21,21:58:59,18,Laura,Carnes,Aves,Filé de Pato,59.99,74.99,9,674.91,,Cartão_Débito
162.134.956-10,2023-04-02,21:48:57,5,Patrícia,Carnes,Aves,Linguiça de Peru,13.99,19.99,9,179.91,,Cartão_Crédito
290.849.859-38,2023-04-12,16:14:22,19,Mariana,Eletrodomésticos,Ferro de Passar,Ferro de Passar,39.99,49.99,7,349.93,,Cartão_Crédito
360.847.857-63,2023-04-29,11:52:42,5,Olivia,Esportes,Pranchas,Prancha de Surf,249.99,299.99,6,1799.94,,Cartão_Crédito
870.588.233-60,2023-04-03,11:53:37,6,Clara,Laticínios,Iogurtes,Iogurte,3.8,5.13,8,41.04,,Cartão_Crédito
240.800.951-12,2023-04-19,10:32:01,4,Alice,Celulares,Smartphones,Smartphone,1799.99,2249.99,7,15749.93,,Cartão_Débito
114.883.707-16,2023-04-23,15:07:04,4,Mariana,Limpeza,Detergentes,Lava-louças,4.8,7.2,5,36.0,Problemas de entrega,Cartão_Crédito
768.188.301-53,2023-04-12,16:15:54,4,Fernanda,Higiene,Desodorantes,Desodorante,8.8,12.32,5,61.6,,Pix
455.810.812-59,2023-04-11,17:08:45,3,Alice,Eletrodomésticos,Fritadeiras,Fritadeira Elétrica,99.99,129.99,10,1299.9,,Pix
109.950.277-24,2023-04-14,17:50:20,12,Carla,Moda e Vestuário,Masculino,Blazer Casual,49.99,74.99,9,674.91,,Dinheiro
338.330.561-81,2023-04-19,18:19:31,18,Beatriz,Hortifruti,Frutas,Pitaya,16.99,19.99,4,79.96,,Pix
122.647.880-72,2023-04-22,14:05:45,12,Tatiana,Hortifruti,Frutas,Amora,14.99,17.99,5,89.95,,Dinheiro
989.468.555-67,2023-04-16,15:47:42,18,Alice,Higiene,Escovas de Dentes,Escova de Dentes,3.9,5.46,9,49.14,,Pix
112.678.407-76,2023-04-04,18:50:57,11,Beatriz,Carnes,Bovina,Costela,39.99,54.99,2,109.98,,Dinheiro
462.231.286-64,2023-04-14,12:07:52,10,Fernanda,Hortifruti,Frutas,Abacate,7.0,9.1,9,81.9,,Cartão_Débito
571.920.526-26,2023-04-23,17:29:03,14,Alice,Carnes,Aves,Peito de Peru,39.99,49.99,5,249.95,,Dinheiro
644.563.774-11,2023-04-28,14:22:41,20,Clara,Moda e Vestuário,Masculino,Terno Slim,99.99,149.99,10,1499.9,Erro no preço,Cartão_Crédito
217.805.749-61,2023-04-13,15:33:59,3,Renata,Iluminação,Spots,Spot de Teto,19.99,29.99,2,59.98,,Cartão_Crédito
275.481.779-97,2023-04-02,10:31:38,10,Mariana,Hortifruti,Frutas,Pitanga,16.99,19.99,10,199.9,,Dinheiro
443.439.722-58,2023-04-28,13:52:05,13,Márcia,Bebidas,Não Alcoólicas,Refrigerante,4.5,5.85,8,46.8,Erro no preço,Dinheiro
654.812.799-87,2023-04-18,13:04:11,9,Olivia,Moda e Vestuário,Feminino,Vestido Blusê,32.99,49.99,1,49.99,Problemas de entrega,Dinheiro
995.717.767-76,2023-04-09,21:10:36,5,Gabriela,Hortifruti,Frutas,Cereja,24.99,29.99,8,239.92,,Cartão_Débito
861.125.639-92,2023-04-06,11:07:12,15,Tatiana,Moda e Vestuário,Masculino,Jaqueta de Couro,89.99,129.99,5,649.95,,Pix
591.489.189-71,2023-04-06,16:26:07,4,Clara,Carnes,Aves,Linguiça Toscana de Frango,17.99,24.99,5,124.95,,Cartão_Débito
999.395.810-54,2023-04-19,16:05:22,13,Ana,Moda e Vestuário,Feminino,Blusa Ciganinha,22.99,34.99,1,34.99,,Cartão_Débito
501.279.166-67,2023-04-21,11:30:01,8,Sabrina,Hortifruti,Frutas,Limão,3.5,4.55,7,31.85,,Cartão_Débito
748.100.213-40,2023-04-03,16:06:07,10,Sabrina,Moda e Vestuário,Masculino,Blazer Casual,49.99,74.99,6,449.94,,Cartão_Débito
509.795.313-25,2023-04-05,16:36:07,1,Márcia,Moda e Vestuário,Feminino,Vestido Midi,42.99,64.99,6,389.94,Desconto recusado,Cartão_Débito
519.914.494-89,2023-04-10,10:56:12,2,Patrícia,Carnes,Aves,Peito de Codorna,29.99,39.99,2,79.98,,Dinheiro
887.962.633-49,2023-04-09,12:01:00,19,Carla,Bebidas,Águas,Água Mineral,1.5,1.95,8,15.6,,Cartão_Crédito
991.622.703-93,2023-04-04,20:41:19,9,Tatiana,Hortifruti,Frutas,Melancia,6.0,7.8,10,78.0,,Dinheiro
698.826.427-71,2023-04-10,10:08:40,12,Mariana,Carnes,Aves,Coração de Frango,11.99,16.99,5,84.95,Estoque indisponível,Dinheiro
315.246.305-28,2023-04-13,15:58:24,4,Sabrina,Padaria,Pães,Pão Integral,4.5,6.08,3,18.24,,Dinheiro
448.623.357-95,2023-04-19,16:22:17,18,Juliana,Carnes,Aves,Coxa de Frango,17.99,24.99,1,24.99,,Pix
629.422.958-79,2023-04-29,11:20:02,19,Helena,Moda e Vestuário,Masculino,Calça Social,39.99,59.99,3,179.97,,Cartão_Débito
426.630.325-51,2023-04-25,15:29:33,2,Alice,Hortifruti,Frutas,Limão Siciliano,4.49,5.49,8,43.92,,Cartão_Crédito
123.282.580-54,2023-04-15,08:45:13,9,Helena,Hortifruti,Frutas,Banana Nanica,1.99,2.99,2,5.98,,Cartão_Débito
