CPF,Data,Hora,PDV,Operadora,Categoria,Subcategoria,Produto,Preço de Custo,Preço,Quantidade,Valor Total,Cancelamentos,Tipo de Pagamento
955.945.757-57,2023-01-01,16:58:34,9,Renata,Eletrodomésticos,Aspiradores,Aspirador de Pó,149.99,199.99,6,1199.94,,Cartão_Débito
309.285.578-48,2023-01-22,11:41:53,17,Helena,Carnes,Bovina,Fígado de Boi,14.99,19.99,4,79.96,,Dinheiro
528.610.633-64,2023-01-31,14:09:14,16,Mariana,Padaria,Bolos,Bolo de Cenoura,16.0,21.6,8,172.8,,Cartão_Crédito
892.153.710-65,2023-01-15,10:52:14,1,Renata,Hortifruti,Frutas,Nectarina,7.99,9.99,5,49.95,,Cartão_Débito
806.432.409-14,2023-01-29,08:25:32,10,Mariana,Tecnologia,Fones de Ouvido,Fone de Ouvido Bluetooth,39.99,49.99,3,149.97,,Cartão_Crédito
835.546.784-22,2023-01-25,21:06:53,8,Tatiana,Moda e Vestuário,Feminino,Blusa Ciganinha,22.99,34.99,10,349.9,,Cartão_Débito
655.953.241-24,2023-01-19,21:59:00,17,Alice,Higiene,Sabonetes,Gel de Banho,4.2,5.88,5,29.4,,Pix
663.783.241-97,2023-01-24,21:26:38,2,Clara,Hortifruti,Frutas,Limão Taiti,1.99,2.99,9,26.91,Erro no preço,Cartão_Crédito
654.797.999-19,2023-01-30,11:37:47,9,Patrícia,Bebidas,Não Alcoólicas,Refrigerante,4.5,5.85,10,58.5,,Pix
153.953.120-89,2023-01-24,12:09:01,16,Clara,Hortifruti,Frutas,Maçã,4.99,6.49,2,12.98,,Pix
131.328.647-71,2023-01-08,12:05:35,3,Carla,Carnes,Aves,Filé de Pato,59.99,74.99,10,749.9,,Dinheiro
361.812.743-90,2023-01-24,19:58:43,13,Márcia,Móveis,Camas,Cama de Casal,399.99,499.99,3,1499.97,Problemas de entrega,Dinheiro
622.852.476-26,2023-01-23,19:43:42,15,Isabela,Limpeza,Sabão em Pó,Sabão em Pó,8.5,12.75,9,114.75,,Cartão_Crédito
170.181.242-41,2023-01-17,18:45:45,14,Clara,Moda e Vestuário,Feminino,Vestido Ciganinha,26.99,39.99,4,159.96,,Pix
849.774.176-86,2023-01-16,17:51:07,7,Daniela,Hortifruti,Frutas,Manga Tommy,4.99,6.49,4,25.96,,Cartão_Crédito
