CPF,Data,Hora,PDV,Operadora,Categoria,Subcategoria,Produto,Preço de Custo,Preço,Quantidade,Valor Total,Cancelamentos,Tipo de Pagamento
321.342.393-43,2023-11-12,17:50:34,14,Juliana,Carnes,Ovinos,Paleta de Cordeiro,74.99,89.99,10,899.9,,Cartão_Crédito
181.730.869-59,2023-11-12,12:18:48,15,Clara,Carnes,Aves,Coxa de Frango,17.99,24.99,4,99.96,,Pix
134.359.325-23,2023-11-27,18:22:44,5,Ana,Carnes,Aves,Fígado de Frango,7.99,12.99,10,129.9,,Pix
671.586.625-73,2023-11-14,17:57:58,10,Clara,Lazer,Cadeiras de Praia,Cadeira de Praia,19.99,29.99,3,89.97,,Pix
493.141.311-92,2023-11-23,13:34:56,4,Tatiana,Móveis,Mesas,Mesa de Jantar,249.99,299.99,1,299.99,,Cartão_Crédito
420.117.932-55,2023-11-11,21:02:24,17,Renata,Celulares,Smartphones,Smartphone,1799.99,2249.99,10,22499.9,,Dinheiro
839.480.252-16,2023-11-21,16:39:57,12,Gabriela,Carnes,Aves,Coração de Frango,11.99,16.99,10,169.9,,Dinheiro
954.207.398-50,2023-11-30,09:23:46,8,Patrícia,Hortifruti,Frutas,Cereja Chilena,44.99,49.99,1,49.99,,Dinheiro
565.181.120-14,2023-11-18,15:28:02,16,Fernanda,Hortifruti,Frutas,Kiwi,9.99,11.99,9,107.91,,Cartão_Crédito
494.388.557-32,2023-11-27,13:02:20,5,Alice,Decoração,Espelhos,Espelho de Parede,39.99,49.99,5,249.95,,Cartão_Crédito
961.512.940-52,2023-11-18,11:50:41,6,Márcia,Padaria,Bolos,Bolo de Cenoura,16.0,21.6,7,151.2,,Cartão_Crédito
871.447.613-11,2023-11-25,18:46:19,1,Daniela,Moda e Vestuário,Masculino,Calça Jogger,26.99,39.99,2,79.98,,Cartão_Débito
742.310.860-14,2023-11-05,16:22:20,17,Mariana,Móveis,Cadeiras,Cadeira de Escritório,119.99,149.99,1,149.99,,Pix
167.140.250-36,2023-11-20,21:16:12,18,Ana,Esportes,Tacos,Taco de Baseball,19.99,29.99,8,239.92,,Dinheiro
292.553.563-23,2023-11-06,16:12:38,3,Fernanda,Moda e Vestuário,Feminino,Sandália Rasteira,26.99,39.99,5,199.95,,Dinheiro
563.834.748-57,2023-11-05,18:06:00,14,Alice,Hortifruti,Frutas,Manga Tommy,4.99,6.49,5,32.45,,Cartão_Débito
292.558.787-41,2023-11-17,15:37:43,19,Patrícia,Hortifruti,Frutas,Mamão Papaia,3.79,4.99,6,29.94,,Dinheiro
809.738.464-13,2023-11-11,14:13:37,4,Renata,Hortifruti,Frutas,Pitaya,16.99,19.99,9,179.91,,Cartão_Crédito
128.298.510-61,2023-11-08,13:50:58,6,Carla,Hortifruti,Frutas,Melancia,6.0,7.8,1,7.8,,Cartão_Débito
275.380.719-99,2023-11-02,17:12:57,15,Olivia,Moda e Vestuário,Masculino,Tênis Esportivo,44.99,69.99,3,209.97,,Cartão_Débito
365.848.945-74,2023-11-29,12:59:22,16,Isabela,Hortifruti,Frutas,Ameixa,6.99,8.99,7,62.93,,Pix
711.176.813-24,2023-11-09,14:01:10,2,Olivia,Hortifruti,Frutas,Caju,5.49,6.99,2,13.98,,Cartão_Crédito
890.438.153-32,2023-11-25,21:45:14,3,Tatiana,Hortifruti,Frutas,Banana,2.99,3.89,8,31.12,,Cartão_Débito
646.100.505-49,2023-11-12,14:10:24,2,Gabriela,Carnes,Aves,Coração de Frango,11.99,16.99,1,16.99,,Cartão_Débito
471.495.338-28,2023-11-12,17:57:23,1,Helena,Hortifruti,Frutas,Maçã,4.99,6.49,1,6.49,,Dinheiro
267.589.105-40,2023-11-16,11:27:37,16,Ana,Moda e Vestuário,Masculino,Terno Slim,99.99,149.99,5,749.95,,Pix
392.363.639-85,2023-11-29,08:07:07,20,Alice,Moda e Vestuário,Masculino,Camisa Polo,22.99,34.99,7,244.93,,Pix
887.981.462-42,2023-11-16,12:51:14,12,Ana,Hortifruti,Frutas,Cereja Argentina,29.99,34.99,2,69.98,,Dinheiro
165.394.280-95,2023-11-28,20:20:22,4,Gabriela,Hortifruti,Frutas,Limão,3.5,4.55,6,27.3,,Cartão_Débito
813.649.454-14,2023-11-04,15:17:05,18,Carla,Carnes,Aves,Peito de Peru,39.99,49.99,4,199.96,,Cartão_Débito
328.405.369-68,2023-11-12,12:56:42,2,Alice,Moda e Vestuário,Masculino,Bermuda Jeans,19.99,29.99,1,29.99,,Cartão_Débito
663.474.745-20,2023-11-17,15:30:02,10,Renata,Hortifruti,Frutas,Limão Taiti,1.99,2.99,1,2.99,,Pix
634.800.108-11,2023-11-21,21:31:51,12,Ana,Hortifruti,Frutas,Mirtilo,19.99,22.99,2,45.98,,Dinheiro
475.980.941-42,2023-11-15,20:35:42,14,Sabrina,Eletrodomésticos,Aspiradores,Aspirador de Pó,149.99,199.99,1,199.99,,Pix
423.482.803-69,2023-11-24,19:54:55,10,Sabrina,Hortifruti,Frutas,Laranja,2.0,2.6,1,2.6,,Cartão_Débito
434.589.963-19,2023-11-02,10:19:49,4,Helena,Eletrodomésticos,Ventiladores,Ventilador de Mesa,49.99,69.99,1,69.99,,Cartão_Crédito
141.547.382-82,2023-11-02,10:01:33,11,Alice,Carnes,Bovina,Contrafilé,52.99,74.99,9,674.91,,Pix
768.537.268-21,2023-11-22,11:53:47,9,Laura,Iluminação,Abajures,Abajur,39.99,49.99,9,449.91,,Dinheiro
295.981.175-28,2023-11-11,20:11:06,8,Beatriz,Tecnologia,Caixas de Som,Smart Speaker,79.99,99.99,4,399.96,,Dinheiro
417.284.479-49,2023-11-23,12:00:16,5,Ana,Tecnologia,Câmeras,Câmera Fotográfica,249.99,299.99,8,2399.92,,Pix
565.242.259-70,2023-11-11,20:21:30,10,Daniela,Tecnologia,Acessórios,Carregador Portátil,19.99,29.99,10,299.9,,Pix
946.898.736-10,2023-11-24,19:17:48,9,Olivia,Eletrodomésticos,Micro-ondas,Micro-ondas,149.99,199.99,2,399.98,,Cartão_Débito
173.184.730-90,2023-11-18,19:03:52,10,Gabriela,Snacks,Salgadinhos,Pipoca,2.0,2.9,9,26.1,,Cartão_Crédito
576.458.239-46,2023-11-28,12:01:47,19,Patrícia,Carnes,Bovina,Rabo,29.99,39.99,10,399.9,,Pix
869.297.361-56,2023-11-16,19:27:25,13,Olivia,Hortifruti,Frutas,Jabuticaba,12.99,15.99,4,63.96,,Cartão_Crédito
665.192.689-26,2023-11-16,11:35:55,6,Beatriz,Eletrodomésticos,Aspiradores,Aspirador de Pó,149.99,199.99,2,399.98,,Pix
475.357.399-72,2023-11-25,10:53:40,16,Daniela,Móveis,Cadeiras,Cadeira de Escritório,119.99,149.99,9,1349.91,,Pix
952.320.556-98,2023-11-08,18:32:18,18,Mariana,Carnes,Aves,Sobrecoxa de Frango,12.8,18.56,1,18.56,,Pix
292.111.547-62,2023-11-08,17:48:10,12,Laura,Hortifruti,Frutas,Limão,3.5,4.55,1,4.55,,Pix
326.757.700-97,2023-11-03,11:31:55,7,Patrícia,Tecnologia,Câmeras,Câmera Fotográfica,249.99,299.99,2,599.98,,Pix
870.930.969-41,2023-11-17,09:06:16,7,Ana,Hortifruti,Frutas,Manga,4.49,5.99,1,5.99,,Cartão_Crédito
773.445.141-46,2023-11-15,21:01:45,16,Mariana,Eletrodomésticos,Ferro de Passar,Ferro de Passar,39.99,49.99,7,349.93,,Pix
198.881.289-26,2023-11-16,14:15:47,3,Olivia,Tecnologia,Acessórios,Cabo HDMI,7.99,9.99,10,99.9,,Dinheiro
980.428.758-21,2023-11-01,15:54:04,20,Márcia,Carnes,Aves,Codorna Inteira,39.99,54.99,8,439.92,,Pix
821.888.208-30,2023-11-23,20:09:10,8,Renata,Moda e Vestuário,Masculino,Calça Chino,32.99,49.99,2,99.98,,Cartão_Débito
373.174.836-48,2023-11-22,10:15:28,8,Helena,Hortifruti,Frutas,Banana da Terra,3.99,4.99,6,29.94,,Cartão_Débito
434.208.529-51,2023-11-04,18:15:30,16,Ana,Moda e Vestuário,Masculino,Blazer Slim,59.99,89.99,9,809.91,,Dinheiro
889.605.652-57,2023-11-06,15:59:02,6,Mariana,Esportes,Pranchas,Prancha de Surf,249.99,299.99,2,599.98,,Dinheiro
586.594.126-24,2023-11-05,14:48:56,10,Laura,Hortifruti,Frutas,Limão,3.5,4.55,1,4.55,,Cartão_Débito
802.863.507-41,2023-11-22,12:06:44,6,Fernanda,Hortifruti,Frutas,Maçã,4.99,6.49,1,6.49,,Pix
331.534.606-91,2023-11-08,16:54:52,14,Fernanda,Carnes,Suína,Linguiça Toscana,24.99,34.99,4,139.96,,Dinheiro
976.600.397-89,2023-11-28,12:53:07,19,Patrícia,Snacks,Frutos Secos,Amendoim,4.5,6.52,7,45.64,,Cartão_Débito
277.938.291-20,2023-11-13,19:29:08,18,Alice,Moda e Vestuário,Masculino,Calça Chino,32.99,49.99,2,99.98,,Pix
829.749.897-99,2023-11-04,18:36:51,1,Carla,Limpeza,Detergentes,Detergente,3.2,4.8,9,43.2,,Dinheiro
958.379.479-39,2023-11-11,13:45:52,15,Márcia,Moda e Vestuário,Feminino,Vestido Rodado,36.99,54.99,1,54.99,,Dinheiro
573.475.234-77,2023-11-05,21:46:57,20,Daniela,Eletrodomésticos,Micro-ondas,Micro-ondas,149.99,199.99,7,1399.93,,Dinheiro
884.482.742-47,2023-11-09,08:15:15,17,Daniela,Carnes,Aves,Linguiça de Frango,13.99,19.99,2,39.98,,Pix
849.524.589-17,2023-11-11,19:21:15,3,Laura,Moda e Vestuário,Masculino,Camisa Xadrez,19.99,29.99,1,29.99,,Cartão_Crédito
831.401.680-59,2023-11-19,13:35:29,9,Carla,Carnes,Ovinos,Pernil de Cordeiro,59.99,74.99,3,224.97,,Cartão_Débito
369.935.575-65,2023-11-05,19:30:52,1,Carla,Moda e Vestuário,Feminino,Vestido Bandagem,36.99,54.99,8,439.92,,Dinheiro
475.471.320-67,2023-11-14,21:11:41,19,Laura,Moda e Vestuário,Feminino,Vestido Longo,54.99,79.99,7,559.93,,Cartão_Débito
509.795.313-25,2023-11-27,17:39:39,15,Helena,Padaria,Biscoitos,Rosquinhas,3.9,5.27,6,31.62,Erro no preço,Pix
249.312.308-25,2023-11-03,11:59:58,4,Isabela,Hortifruti,Frutas,Kiwi,5.0,6.5,5,32.5,,Cartão_Crédito
901.901.525-88,2023-11-28,21:08:15,19,Isabela,Hortifruti,Frutas,Melancia,6.0,7.8,4,31.2,,Cartão_Débito
274.259.938-98,2023-11-20,21:06:20,14,Patrícia,Hortifruti,Frutas,Pêssego,4.0,5.2,6,31.2,,Dinheiro
752.444.522-76,2023-11-11,21:08:52,1,Laura,Moda e Vestuário,Masculino,Sapatênis Casual,39.99,59.99,10,599.9,,Cartão_Crédito
351.127.310-68,2023-11-20,08:14:50,19,Clara,Hortifruti,Frutas,Melancia,6.0,7.8,10,78.0,,Pix
426.947.933-38,2023-11-01,18:32:16,15,Fernanda,Hortifruti,Frutas,Abacate,7.0,9.1,6,54.6,,Cartão_Crédito
355.674.219-66,2023-11-02,19:45:45,7,Laura,Hortifruti,Frutas,Figo,11.99,14.99,1,14.99,,Dinheiro
459.537.152-84,2023-11-24,09:56:12,8,Sabrina,Lazer,Cadeiras de Praia,Cadeira de Praia,19.99,29.99,10,299.9,,Pix
228.823.130-73,2023-11-10,12:55:34,16,Mariana,Laticínios,Leites,Leite,2.5,3.38,3,10.14,,Dinheiro
818.272.327-88,2023-11-04,15:15:46,19,Beatriz,Moda e Vestuário,Masculino,Tênis Esportivo,44.99,69.99,6,419.94,Problemas de entrega,Pix
304.504.659-29,2023-11-30,16:10:53,20,Beatriz,Decoração,Relógios,Relógio de Parede,19.99,29.99,8,239.92,,Dinheiro
795.953.760-87,2023-11-15,13:19:33,7,Laura,Carnes,Ovinos,Carré de Cordeiro,69.99,84.99,1,84.99,,Cartão_Débito
540.586.764-41,2023-11-07,08:41:20,2,Daniela,Carnes,Suína,Bacon Fatiado,24.99,34.99,8,279.92,,Dinheiro
472.261.181-86,2023-11-21,21:41:22,16,Gabriela,Hortifruti,Frutas,Romã,7.99,9.99,9,89.91,,Pix
432.583.983-22,2023-11-22,15:54:11,18,Olivia,Hortifruti,Frutas,Amora,14.99,17.99,8,143.92,,Cartão_Débito
180.762.599-54,2023-11-28,10:48:14,15,Sabrina,Eletrodomésticos,Cafeteiras,Cafeteira Elétrica,79.99,99.99,6,599.94,,Cartão_Débito
696.800.459-27,2023-11-06,16:13:30,16,Olivia,Moda e Vestuário,Masculino,Bermuda Jeans,19.99,29.99,9,269.91,,Pix
987.368.369-11,2023-11-26,11:22:49,9,Mariana,Padaria,Pães,Pão Integral,4.5,6.08,6,36.48,,Cartão_Crédito
647.144.809-44,2023-11-15,21:27:33,7,Isabela,Carnes,Aves,Asa de Frango,13.99,19.99,4,79.96,,Dinheiro
333.560.767-33,2023-11-09,16:30:46,12,Daniela,Hortifruti,Frutas,Limão Siciliano,4.49,5.49,2,10.98,,Cartão_Débito
779.573.911-35,2023-11-16,10:54:16,18,Patrícia,Hortifruti,Frutas,Melão,6.49,7.99,2,15.98,,Pix
463.645.752-78,2023-11-26,20:44:49,14,Isabela,Carnes,Aves,Sobrecoxa de Frango,12.8,18.56,1,18.56,,Pix
663.889.496-92,2023-11-09,16:56:02,9,Carla,Eletrodomésticos,Micro-ondas,Micro-ondas,149.99,199.99,7,1399.93,,Dinheiro
622.589.499-70,2023-11-03,15:01:43,4,Ana,Hortifruti,Frutas,Limão Cravo,5.49,6.99,2,13.98,,Dinheiro
554.383.915-65,2023-11-19,15:37:32,1,Carla,Hortifruti,Frutas,Graviola,9.49,11.99,4,47.96,,Cartão_Crédito
