CPF,Data,Hora,PDV,Operadora,Categoria,Subcategoria,Produto,Preço de Custo,Preço,Quantidade,Valor Total,Cancelamentos,Tipo de Pagamento
115.256.578-45,2023-10-22,11:07:09,7,Alice,Iluminação,Abajures,Abajur,39.99,49.99,5,249.95,Estoque indisponível,Cartão_Crédito
102.620.943-56,2023-10-02,19:07:54,16,Ana,Moda e Vestuário,Feminino,Calça Legging,22.99,34.99,3,104.97,,Dinheiro
957.945.527-37,2023-10-28,09:04:11,9,Laura,Carnes,Ovinos,Carré de Cordeiro,69.99,84.99,1,84.99,,Cartão_Crédito
504.512.516-77,2023-10-15,11:43:14,8,Mariana,Carnes,Suínos,Costela Suína,18.9,27.4,7,191.8,,Pix
489.771.512-42,2023-10-28,13:56:01,7,Laura,Carnes,Suína,Bacon Fatiado,24.99,34.99,3,104.97,Problemas de entrega,Dinheiro
542.251.193-47,2023-10-05,21:33:34,2,Patrícia,Carnes,Aves,Salsicha de Frango,9.99,14.99,1,14.99,,Dinheiro
713.593.516-33,2023-10-31,15:37:52,2,Laura,Decoração,Espelhos,Espelho de Parede,39.99,49.99,4,199.96,,Pix
854.809.339-13,2023-10-27,14:45:45,2,Olivia,Bebidas,Águas,Água Mineral,1.5,1.95,6,11.7,,Dinheiro
818.365.859-68,2023-10-08,13:27:20,5,Ana,Hortifruti,Frutas,Banana da Terra,3.99,4.99,4,19.96,,Dinheiro
681.193.894-21,2023-10-11,19:44:21,11,Beatriz,Moda e Vestuário,Masculino,Calça Cargo,29.99,44.99,8,359.92,Desconto recusado,Pix
792.886.994-10,2023-10-31,09:50:58,12,Renata,Hortifruti,Frutas,Banana Nanica,1.99,2.99,1,2.99,,Cartão_Crédito
548.922.848-16,2023-10-09,10:06:14,14,Alice,Moda e Vestuário,Masculino,Camiseta Estampada,16.99,24.99,6,149.94,,Pix
236.810.343-46,2023-10-09,10:37:10,17,Alice,Hortifruti,Frutas,Maçã,4.99,6.49,5,32.45,Erro no preço,Dinheiro
516.659.434-89,2023-10-30,18:02:53,7,Ana,Esportes,Tacos,Taco de Baseball,19.99,29.99,8,239.92,,Cartão_Crédito
543.419.242-18,2023-10-05,15:27:36,2,Beatriz,Padaria,Biscoitos,Biscoito,5.8,7.83,10,78.3,,Cartão_Débito
330.836.173-26,2023-10-06,09:58:34,5,Alice,Hortifruti,Frutas,Cereja,24.99,29.99,9,269.91,Pagamento não autorizado,Dinheiro
386.663.575-63,2023-10-24,20:51:32,1,Patrícia,Hortifruti,Legumes,Pimentão,3.99,5.19,5,25.95,Erro no preço,Cartão_Débito
133.985.750-14,2023-10-11,09:19:24,2,Natália,Higiene,Shampoos,Condicionador,14.5,20.3,5,101.5,,Dinheiro
911.739.298-23,2023-10-25,08:19:59,17,Sabrina,Sobremesas,Chocolates,Chocolate,7.5,10.5,7,73.5,,Cartão_Crédito
469.665.464-72,2023-10-21,21:14:29,18,Daniela,Moda e Vestuário,Feminino,Blusa de Tricô,22.99,34.99,4,139.96,,Cartão_Débito
207.469.121-91,2023-10-25,09:16:10,11,Laura,Hortifruti,Frutas,Banana,2.99,3.89,9,35.01,,Pix
407.175.152-14,2023-10-15,17:24:40,5,Tatiana,Móveis,Guarda-roupas,Guarda-roupa,299.99,399.99,9,3599.91,,Dinheiro
481.988.423-14,2023-10-28,16:31:48,1,Alice,Padaria,Bolos,Bolo de Chocolate,18.0,24.3,4,97.2,,Pix
739.154.589-22,2023-10-25,18:06:50,6,Clara,Hortifruti,Frutas,Caqui,8.99,10.99,8,87.92,,Cartão_Débito
488.104.242-18,2023-10-08,17:27:37,13,Laura,Carnes,Aves,Salsicha de Frango,9.99,14.99,4,59.96,Desistência do cliente,Cartão_Débito
517.847.370-38,2023-10-27,08:59:48,12,Beatriz,Limpeza,Detergentes,Lava-louças,4.8,7.2,9,64.8,,Dinheiro
994.489.817-42,2023-10-02,20:55:03,11,Fernanda,Hortifruti,Frutas,Cereja Argentina,29.99,34.99,7,244.93,Fraude,Cartão_Crédito
754.843.198-79,2023-10-24,16:07:35,15,Clara,Limpeza,Sabão em Pó,Sabão em Pó,8.5,12.75,2,25.5,,Cartão_Débito
403.193.970-89,2023-10-04,19:37:29,18,Patrícia,Hortifruti,Frutas,Figo,11.99,14.99,9,134.91,,Pix
463.218.252-14,2023-10-04,16:04:11,7,Laura,Hortifruti,Frutas,Abacaxi,4.5,5.85,6,35.1,,Dinheiro
120.414.516-50,2023-10-03,14:40:40,14,Olivia,Carnes,Bovina,Lagarto,44.99,59.99,4,239.96,,Cartão_Débito
474.983.914-48,2023-10-08,19:24:22,13,Beatriz,Carnes,Bovina,Contrafilé,52.99,74.99,7,524.93,,Cartão_Débito
514.356.830-17,2023-10-01,12:51:07,1,Juliana,Laticínios,Leites,Leite,2.5,3.38,10,33.8,,Cartão_Crédito
792.128.737-73,2023-10-12,12:59:07,17,Natália,Hortifruti,Frutas,Cereja do Rio Grande,34.99,39.99,1,39.99,,Dinheiro
268.350.218-22,2023-10-11,09:38:31,6,Patrícia,Hortifruti,Frutas,Mamão Formosa,3.99,5.49,10,54.9,,Cartão_Débito
211.801.571-35,2023-10-26,21:29:11,10,Renata,Hortifruti,Frutas,Limão,3.5,4.55,1,4.55,,Dinheiro
704.565.997-77,2023-10-28,10:56:15,4,Olivia,Hortifruti,Frutas,Figo,11.99,14.99,4,59.96,,Cartão_Débito
320.424.947-87,2023-10-02,11:41:31,10,Natália,Bebidas,Não Alcoólicas,Suco de Laranja,6.2,8.06,2,16.12,,Dinheiro
957.261.264-48,2023-10-26,18:48:00,15,Sabrina,Carnes,Bovinos,Carne de Sol,35.5,51.48,6,308.88,,Cartão_Débito
618.421.368-70,2023-10-15,16:42:55,11,Isabela,Moda e Vestuário,Masculino,Tênis Esportivo,44.99,69.99,7,489.93,,Dinheiro
887.848.510-66,2023-10-08,16:40:42,8,Ana,Iluminação,Lustres,Lustre,119.99,149.99,9,1349.91,Erro no preço,Pix
616.634.558-24,2023-10-21,16:38:01,7,Renata,Carnes,Aves,Linguiça de Frango,13.99,19.99,6,119.94,,Dinheiro
670.517.627-33,2023-10-31,14:28:45,15,Sabrina,Carnes,Aves,Sobrecoxa de Frango,12.8,18.56,4,74.24,,Cartão_Crédito
