CPF,Data,Hora,PDV,Operadora,Categoria,Subcategoria,Produto,Preço de Custo,Preço,Quantidade,Valor Total,Cancelamentos,Tipo de Pagamento
504.482.233-98,2023-09-21,16:18:26,16,Márcia,Hortifruti,Frutas,Cereja Argentina,29.99,34.99,2,69.98,,Dinheiro
938.563.265-15,2023-09-28,09:08:44,12,Natália,Hortifruti,Frutas,Tangerina,2.49,3.49,2,6.98,,Cartão_Crédito
821.888.208-30,2023-09-13,14:48:37,5,Fernanda,Hortifruti,Frutas,Pêssego,4.0,5.2,9,46.8,,Cartão_Débito
729.853.658-11,2023-09-11,18:04:21,11,Natália,Tecnologia,Fones de Ouvido,Fone de Ouvido Bluetooth,39.99,49.99,5,249.95,,Dinheiro
706.606.229-25,2023-09-18,08:16:52,11,Alice,Hortifruti,Frutas,Mamão,5.5,7.15,3,21.45,,Pix
365.848.945-74,2023-09-27,19:16:04,13,Helena,Celulares,Smartphones,Smartphone,1799.99,2249.99,5,11249.95,,Dinheiro
783.281.640-48,2023-09-16,21:53:19,5,Gabriela,Hortifruti,Legumes,Cenoura,1.79,2.33,9,20.97,,Cartão_Crédito
124.452.245-77,2023-09-14,12:01:24,15,Beatriz,Moda e Vestuário,Masculino,Bermuda Jeans,19.99,29.99,10,299.9,,Pix
759.808.581-62,2023-09-10,12:51:08,5,Sabrina,Bebidas,Alcoólicas,Cerveja,5.9,7.67,3,23.01,,Pix
408.439.253-93,2023-09-27,08:56:49,9,Gabriela,Moda e Vestuário,Masculino,Calça Cargo,29.99,44.99,8,359.92,,Cartão_Débito
221.375.414-24,2023-09-02,21:14:34,14,Fernanda,Carnes,Ovinos,Cordeiro Desossado,79.99,94.99,10,949.9,,Pix
987.731.836-72,2023-09-05,19:57:28,5,Daniela,Snacks,Frutos Secos,Amendoim,4.5,6.52,3,19.56,,Dinheiro
315.170.331-69,2023-09-14,11:01:36,11,Patrícia,Móveis,Mesas,Mesa de Jantar,249.99,299.99,6,1799.94,,Pix
673.756.547-84,2023-09-30,17:31:06,4,Tatiana,Carnes,Suína,Lombo,31.99,44.99,8,359.92,,Cartão_Crédito
254.400.880-62,2023-09-14,10:42:48,20,Fernanda,Hortifruti,Legumes,Tomate,3.49,4.54,8,36.32,,Dinheiro
442.290.515-13,2023-09-29,16:27:16,15,Sabrina,Lazer,Brinquedos,Cama Elástica,149.99,199.99,4,799.96,,Dinheiro
524.352.944-79,2023-09-01,15:43:27,14,Patrícia,Hortifruti,Frutas,Abacaxi,4.5,5.85,8,46.8,,Cartão_Débito
